Drug Take-Back Site,Zip Code,County,County Code Number,County Code,FIPS County Code,State FIPS,Phone Number,Hours of Availability,Address,City,Latitude,Longitude
Springfield Township Police,18951,Bucks,9,9,9,42,(610) 346-6700,"Monday-Friday, 9am-4pm","2320 Township Road
Quakertown, Pennsylvania
",Quakertown,40.5031,-75.3035
State Police-Troop M / Dublin,18944,Bucks,9,9,9,42,NA,NA,"3218 Rickert Rd.
Perkasie, Pennsylvania
",Perkasie,40.3762,-75.2109
Tullytown Borough Police,19007,Bucks,9,9,9,42,(215) 945-0999,"Monday-Friday, 8am-4pm","500 Main Street
Tullytown, Pennsylvania
",Tullytown,40.142,-74.8115
Upper Makefield Twp Police,18940,Bucks,9,9,9,42,(215) 968-3020,"Monday-Friday, 8:30am-4:30pm","1076 Eagle Road
Newtown, Pennsylvania
",Newtown,40.2877,-74.9375
Upper Southampton Twp Police,18966,Bucks,9,9,9,42,(215) 364-5000,Contact location for hours,"939 Street Road
Southampton, Pennsylvania
",Southampton,40.1714,-75.0367
Walgreens Pharmacy (Warminister Location),18974,Bucks,9,9,9,42,(215) 956û2834,Contact location for hours,"10 York Road
Warminister, Pennsylvania
",Warminister,40.1911,-75.1038
Warminster Township Police,18974,Bucks,9,9,9,42,(215) 443-5000,"7 days a week, 24 hours a day","401 Gibson Avenue
Warminster, Pennsylvania
",Warminister,40.2054,-75.1079
Warrington Township Building,18976,Bucks,9,9,9,42,(215) 343-9350,Contact location for hours,"852 Easton Road
Warrington, Pennsylvania
",Warrington,40.2389,-75.1376
Warwick Township Police,18929,Bucks,9,9,9,42,(215) 343-6102 ext. 411,"Monday-Friday, 8am-4pm","1733 Township Greene
Jamison, Pennsylvania
",Jamison,40.2549,-75.089
Adams Township Police Dept.,16046,Butler,10,10,10,42,(724) 625-2040,Contact location for hours,"690 Valencia Road
Mars, Pennsylvania
",Mars,40.7134,-79.9907
Butler City Police Dept.,16001,Butler,10,10,10,42,(724) 287-7743,"7 days a week, 24 hours a day","200 West New Castle Street
Butler, Pennsylvania
",Butler,40.8617,-79.8968
Butler County Prison,16001,Butler,10,10,10,42,(724) 284-5256,"7 days a week, 24 hours a day","202 South Washington Street
Butler, Pennsylvania
",Butler,40.8598,-79.897
Butler Township Police Dept.,16001,Butler,10,10,10,42,(724) 285-9600,"Monday-Friday, 8am-4:30pm","290 South Duffy Road
Butler, Pennsylvania
",Butler,40.8599,-79.9404
Cranberry Township Police Dept.,16066,Butler,10,10,10,42,(724) 776-5180,"Monday-Friday, 8am-10pm; Saturday, 9am-3pm","2525 Rochester Road
Cranberry Township, Pennsylvania
",Cranberry Township,40.698,-80.1081
Jackson Township Police Dept.,16063,Butler,10,10,10,42,(724) 452-5600,Contact location for hours,"140 Magill Road
Zelienople, Pennsylvania
",Zelienople,40.7929,-80.1043
Penn Township Police Dept.,16002,Butler,10,10,10,42,(724) 586-1169,"Monday-Friday, 7:30am-4pm","157 East Airport Road
Butler, Pennsylvania
",Butler,40.7813,-79.9225
Saxonburg Borough Police Dept.,16056,Butler,10,10,10,42,(724) 352-6255,"Monday-Saturday, 8am-4pm","420 West Main Street
Saxonburg, Pennsylvania
",Saxonburg,40.7513,-79.8173
Slippery Rock Borough Police Dept.,16057,Butler,10,10,10,42,(724) 794-6388,"Monday-Friday, 8am-4pm; by appointment during off-hours","306 East Water Street
Slippery Rock, Pennsylvania
",Slippery Rock,41.0662,-80.0549
State Police-Troop D / Butler,16001,Butler,10,10,10,42,NA,NA,"200 Barracks Rd.
Butler, Pennsylvania
",Butler,40.8667,-79.9155
Walgreens Pharmacy (Butler Location),16001,Butler,10,10,10,42,(724) 282-9414 ,Contact location for hours,"280 New Castle Rd
Butler, Pennsylvania
",Butler,40.8733,-79.9394
Cambria Co. Sheriff's Dept.,15931,Cambria,11,11,11,42,(814) 472-1691,"Monday-Friday, 9am-4pm; call for weekend hours","200 South Center Street
Ebensburg, Pennsylvania
",Ebensburg,40.4864,-78.7248
Richland Twp. Police Dept.,15904,Cambria,11,11,11,42,(814) 266-8333,"Monday-Friday, 8am-4pm; call for weekend hours","322 Schoolhouse Rd, Suite 110
Johnstown, Pennsylvania
",Johnstown,40.2691,-78.8403
State Police-Troop A / Ebensburg,15931,Cambria,11,11,11,42,NA,NA,"100 Casale Court
Ebensburg, Pennsylvania
",Ebensburg,40.4607,-78.7557
Emporium Police Dept.,15834,Cameron,12,12,12,42,(814) 486-3384,"Monday-Friday, 8am-4pm; closed holidays","421 North Broad Street
Emporium, Pennsylvania
",Emporium,41.5117,-78.2379
State Police-Troop F / Emporium,15834,Cameron,12,12,12,42,NA,NA,"12921 Rt 120
Emporium, Pennsylvania
",Emporium,41.5015,-78.2637
Borough of Lehighton Police Dept.,18235,Carbon,13,13,13,42,(610) 377-4003,"Monday-Friday, 8:30am-5pm","124 South Third Street
Lehighton, Pennsylvania
",Lehighton,40.8328,-75.712
Jim Thorpe Police Dept.,18229,Carbon,13,13,13,42,(570) 325-4995,"Monday-Friday, 8:30am-4pm","101 East Tenth Street
Jim Thorpe, Pennsylvania
",Jim Thorpe,40.8774,-75.7251
Lansford Police Dept.,18232,Carbon,13,13,13,42,(570) 645-5844,Contact location for hours,"1 West Ridge Street
Lansford, Pennsylvania
",Lansford,40.832,-75.8845
Mahoning Twp. Police Dept.,18235,Carbon,13,13,13,42,(570) 386-2241,Contact location for hours,"2685 Mahoning Drive East
Lehighton, Pennsylvania
",Lehighton,40.8114,-75.7729
Palmerton Police Dept.,18071,Carbon,13,13,13,42,(610) 826-4055,Contact location for hours,"401 Delaware Avenue
Palmerton, Pennsylvania
",Palmertown,40.8029,-75.608
State Police-Troop N / Lehighton,18235,Carbon,13,13,13,42,NA,NA,"9170 Interchange Rd.
Lehighton, Pennsylvania
",Lehighton,40.8773,-75.5448
Weatherly Police Dept.,18255,Carbon,13,13,13,42,(570) 427-4241,"Monday-Friday, 7:30am-4:30pm ","10 Wilbur Street
Weatherly, Pennsylvania
",Weatherly,40.9406,-75.8291
Bellefonte Police Department,16823,Centre,14,14,14,42,(814) 353-2320,"Monday-Friday,áá8am-4pm ","236 W Lamb Street
Bellefonte, Pennsylvania
",Bellefonte,40.9146,-77.7814
Centre County Government,16823,Centre,14,14,14,42,(814) 355-6803,Contact location for hours,"420 Holmes Street
Bellefonte, Pennsylvania
",Bellefonte,40.9065,-77.7831
Centre County Sheriff's Office,16823,Centre,14,14,14,42,(814) 355-6803,Contact location for hours,"213 East High Street
Bellefonte, Pennsylvania
",Bellefonte,40.9126,-77.7763
Ferguson Township Police Dept.,16801,Centre,14,14,14,42,(814) 237-1172,Contact location for hours,"3147 Research Drive
State College, Pennsylvania
",State College,40.7622,-77.8747
Patton Township Police Dept.,16803,Centre,14,14,14,42,(814) 234-0273,Contact location for hours,"100 Patton Plaza
State College, Pennsylvania
",State College,40.8123,-77.92
Penn State University Police & Public Safety,16802,Centre,14,14,14,42,(814) 865-1864,Contact location for hours,"Eisenhower Parking Deck
University Park, Pennsylvania
",University Park,40.8023,-77.8609
State College Police Dept.,16801,Centre,14,14,14,42,(814) 234-7150,Contact location for hours,"243 South Allen Street
State College, Pennsylvania
",State College,40.7928,-77.8588
State Police-Troop G / Rockview,16823,Centre,14,14,14,42,NA,NA,"745 S Eagle Valley Rd.
Bellefonte, Pennsylvania
",Bellefonte,40.9356,-77.8104
Borough of Oxford Police Dept.,19363,Chester,15,15,15,42,(610) 998-0032,"Monday-Friday, 8am-4:30pm","57 North Fourth Street
Oxford, Pennsylvania
",Oxford,39.7862,-75.9773
Borough of Phoenixville Police Dept.,19460,Chester,15,15,15,42,(610) 933-1180,"Monday-Friday, 8am-4:30pm","351 Bridge Street
Phoenixville, Pennsylvania
",Phoenixville,40.1336,-75.5198
Caln Township Police Department,19372,Chester,15,15,15,42,(610) 383-1821,"Monday-Friday, 8am-4:30pm","253 Municipal Drive
Thorndale, Pennsylvania
",Thorndale,39.9994,-75.754
Chester Co. Sheriff's Office,19380,Chester,15,15,15,42,(610) 344-6850,"Monday-Friday, 8am-4:30pm","201 W. Market St., Ste. 1201
West Chester, Pennsylvania
",West Chester,39.9585,-75.608
City of Coatesville Police Department,19320,Chester,15,15,15,42,(610) 384-2300,"7 days a week, 24 hours a day","1 City Hall
Coatesville, Pennsylvania
",Coatesville,39.9822,-75.8205
East Brandywine Twp. Police Dept.,19335,Chester,15,15,15,42,(610) 269-4300,"Monday-Friday, 9am-5pm  ","1212 Horseshoe Pike
Downingtown, Pennsylvania
",Downingtown,40.0346,-75.7666
Easttown Police Department,19333,Chester,15,15,15,42,(610) 341-9780,Contact location for hours,"566 Beaumont Rd
Devon, Pennsylvania
",Devon,40.0216,-75.4265
Kennett Square Police Dept.,19348,Chester,15,15,15,42,(610) 444-0501,"Monday-Friday, 8:30am-4:30pm","115 North Broad Street
Kennett Square, Pennsylvania
",Kennett Square,39.8478,-75.7106
New Garden Twp. Police Dept.,19350,Chester,15,15,15,42,(610) 268-2907,"Monday-Friday, 8am-4pm  ","8934 Gap Newport Pike
Landenberg, Pennsylvania
",Landenberg,39.8108,-75.7551
North Coventry Twp. Police Dept. ,19465,Chester,15,15,15,42,(610) 323-8360,"Monday-Friday, 8am-4pm  ","845 South Hanover Street
Pottstown, Pennsylvania
",Pottstown,40.2311,-75.6555
Parkesburg Borough Police Dept.,19365,Chester,15,15,15,42,(610) 857-3535,"Monday-Friday, 8am-4pm  ","315 West First Ave., Build. II
Parkesburg, Pennsylvania
",Parkesburg,39.9594,-75.9168
State Police-Troop J / Avondale,19311,Chester,15,15,15,42,NA,NA,"2 Moxley Ln.
Avondale, Pennsylvania
",Avondale,39.8373,-75.7987
Tredyffrin Township Police Dept.,19312,Chester,15,15,15,42,(610) 644-3221,"Monday-Friday, 6:30am-10:00pm, or by appointment","1100 DuPortail Road
Berwyn, Pennsylvania
",Berwyn,40.0458,-75.4396
Upper Uwchlan Twp Administrative offices,19425,Chester,15,15,15,42,(610) 458-9400,Contact location for hours,"140 Pottstown Pike
Chester Springs, Pennsylvania
",Chester Springs,40.0885,-75.6923
Valley Township Police Department,19320,Chester,15,15,15,42,(610) 384-8133,"Monday-Friday, 8am-4:30pm","890 West Lincoln Highway
Coatesville, Pennsylvania
",Coatesville,39.984,-75.8456
West Brandywine Township Police Department,19320,Chester,15,15,15,42,(610) 380-8201,"7 days a week, 24 hours a day","198 Lafayette Road
Coatesville, Pennsylvania
",Coatesville,40.041,-75.8237
West Caln Township Police Department,19320,Chester,15,15,15,42,(610) 384-3115,Monday-Friday 8am-4pm,"721 W Kings Highway
Coatesville, Pennsylvania
",Coatesville,40.011,-75.8678
West Goshen Twp. Police Dept.,19380,Chester,15,15,15,42,(610) 696-7400,"Monday-Friday, 7am-10:30pm","1025 Paoli Pike
West Chester, Pennsylvania
",West Chester,39.9732,-75.5823
West Vincent Township Police Dept.,19425,Chester,15,15,15,42,(610) 458-3205,"Monday-Friday, 8:30am-4:30pm","729 St. Matthews Road
Chester Springs, Pennsylvania
",Chester Springs,40.1069,-75.6681
West Whiteland Twp. Police Dept.,19341,Chester,15,15,15,42,(610) 363-0200,"Monday-Friday, 8:30am-4:30pm","101 Commerce Drive
Exton, Pennsylvania
",Exton,40.0315,-75.6237
Westtown-East Goshen Regional Police Dept.,19382,Chester,15,15,15,42,(610) 692-9600,"Monday-Friday, 8:30am-4:30pm","1041 Wilmington Pike
West Chester, Pennsylvania
",West Chester,39.9331,-75.5862
Willistown Township Police Dept.,19355,Chester,15,15,15,42,(610) 251-0222,Contact location for hours,"688 Sugartown Road
Malvern, Pennsylvania
",Malvern,40.0012,-75.5098
Clarion Borough Police Department,16214,Clarion,16,16,16,42,(814) 226-9140,"7 days a week, 24 hours a day","1400 East Main Street
Clarion, Pennsylvania
",Clarion,41.2074,-79.3649
Knox Borough Police Dept.,16232,Clarion,16,16,16,42,(814) 797-1100,Contact location for hours,"620 South Main Street
Knox, Pennsylvania
",Knox,41.2284,-79.5388
Southern Clarion County Regional Police Dept.,16242,Clarion,16,16,16,42,(814) 275-1180,Contact location for hours,"220 Broad Street
New Bethlehem, Pennsylvania
",New Bethlehem,41.0014,-79.3344
State Police-Troop C / Clarion,16214,Clarion,16,16,16,42,NA,NA,"209 Commerce Rd.
Clarion, Pennsylvania
",Clarion,41.1828,-79.396
Clearfield Borough Police Dept.,16830,Clearfield,17,17,17,42,(814) 765-1533,Contact location for hours,"14 South Front Street
Clearfield, Pennsylvania
",Clearfield,41.0214,-78.4394
Clearfield County Courthouse,16830,Clearfield,17,17,17,42,(814) 765-2641,Contact location for hours,"230 East Market Street
Clearfield, Pennsylvania
",Clearfield,41.0224,-78.437
Curwensville Police Dept.,16833,Clearfield,17,17,17,42,(814) 236-3858,Contact location for hours,"900 Susquehanna Avenue
Curwensville, Pennsylvania
",Curwensville,40.9643,-78.5206
Decatur Township Police Dept.,16666,Clearfield,17,17,17,42,(814) 339-6775,Contact location for hours,"575 Fairview Road
Osceola Mills, Pennsylvania
",Osceola Mills,40.8651,-78.2663
DuBois City Police Department,15801,Clearfield,17,17,17,42,(814) 371-2326,Contact location for hours,"16 West Scribner Avenue
DuBois, Pennsylvania
",DuBois,41.1198,-78.7612
Lawrence Township Police Dept.,16843,Clearfield,17,17,17,42,(814) 765-1647,Contact location for hours,"1215 Hall Street
Hyde, Pennsylvania
",Hyde,40.9977,-78.4653
Sandy Township Police Dept.,15801,Clearfield,17,17,17,42,(814) 371-4220,Contact location for hours,"1094 Chestnut Avenue
DuBois, Pennsylvania
",DuBois,41.1132,-78.7378
State Police-Troop C / Clearfield,16881,Clearfield,17,17,17,42,NA,NA,"147 Doe Hill Rd.
Woodland, Pennsylvania
",Woodland,41.0096,-78.3457
Clinton County Sheriff's Dept. (In the Garden Building across the street from the courthouse),17745,Clinton,18,18,18,42,(570) 893-4070,"Monday, Tuesday, Thursday, Friday, 8am-5pm; Wednesday, 8am-12:30pm","232 East Main Street
Lock Haven, Pennsylvania
",Lock Haven,41.1369,-77.4432
Lock Haven City Police Dept.,17745,Clinton,18,18,18,42,(570) 893-5911,Contact location for hours,"20 East Church Street
Lock Haven, Pennsylvania
",Lock Haven,41.136,-77.4484
Magisterial District Court 25-3-03 ,17764,Clinton,18,18,18,42,(570) 893-4141,Contact location for hours,"112 Ninth Street
Renovo, Pennsylvania
",Renovo,41.3277,-77.7503
State Police-Troop F / Lamar,17751,Clinton,18,18,18,42,NA,NA,"113 Boyd Rd.
Mill Hall, Pennsylvania
",Mill Hall,41.387,-80.127
Berwick Police Dept.,18603,Columbia,19,19,19,42,(570) 752-3677,"Monday, Tuesday, Thursday, Friday, 8am-5pm; Wednesday, 8am-12:30pm","1800 North Market Street
Berwick, Pennsylvania
",Berwick,41.0674,-76.2455
Bloomsburg Police Dept.,17815,Columbia,19,19,19,42,(570) 784-4155,"Monday-Friday, 8:30am-12am","301 East Second Street
Bloomsburg, Pennsylvania
",Bloomsburg,41.0047,-76.4535
State Police-Troop N / Bloomsburg,17815,Columbia,19,19,19,42,NA,NA,"6850 Hidlay Church Rd.
Bloomsburg, Pennsylvania
",Bloomsburg,41.0398,-76.3588
Cambridge Springs Police Dept.,16403,Crawford,20,20,20,42,(814) 398-4112,Contact location for hours,"161 Carringer Street
Cambridge Springs, Pennsylvania
",Cambridge Springs,41.8046,-80.0607
Conneaut Lake Regional Police Dept.,16316,Crawford,20,20,20,42,(814) 382-4364,"7 days a week, 24 hours a day","9878 State Highway 285
Conneaut Lake, Pennsylvania
",Conneaut Lake,41.6035,-80.3131
Crawford Co. Sheriff's Dept.,16335,Crawford,20,20,20,42,(814) 333-7411,"Monday-Friday, 8:30am-4:30pm","903 Diamond Park
Meadville, Pennsylvania
",Meadville,41.6385,-80.1496
Linesville Borough Police Dept.,16424,Crawford,20,20,20,42,(814) 683-5454,Contact location for hours,"127 East Erie Street
Linesville, Pennsylvania
",Linesville,41.6564,-80.4203
Meadville Medical Center,16335,Crawford,20,20,20,42,(814) 724-6100,Contact location for hours,"751 Liberty Street
Meadville, Pennsylvania
",Meadville,41.6415,-80.1457
State Police-Troop E / Meadville,16335,Crawford,20,20,20,42,NA,NA,"11025 Murray Rd.
Meadville, Pennsylvania
",Meadville,41.618,-80.2082
Titusville Police Dept.,16354,Crawford,20,20,20,42,(814) 827-1890,"Monday-Friday, 8am-4pm","323 North Franklin Street
Titusville, Pennsylvania
",Titusville,41.6297,-79.6736
West Mead Twp. Police Dept.,16335,Crawford,20,20,20,42,(814) 336-1005,Contact location for hours,"1150 Morgan Village Drive
Meadville, Pennsylvania
",Meadville,41.6289,-80.1337
Camp Hill Police Dept.,17011,Cumberland,21,21,21,42,(717) 737-1570,"Monday-Friday, 7:30am-3:30pm","2199 Walnut Street
Camp Hill, Pennsylvania
",Camp Hill,40.2415,-76.9222
Carlisle Borough Police Dept.,17013,Cumberland,21,21,21,42,(717) 243-5252,"Monday-Friday, 7am-11pm","240 Lincoln Street
Carlisle, Pennsylvania
",Carlisle,40.2065,-77.1944
Cumberland Co. Old Prison,17013,Cumberland,21,21,21,42,(717) 240-6392,"Monday-Friday, 8am-4:30pm","37 East High Street
Carlisle, Pennsylvania
",Carlisle,40.2014,-77.1873
Cumberland County Courthouse,17013,Cumberland,21,21,21,42,(717) 240-6392,"Monday-Friday, 8am-4:30pm","One Courthouse Square
Carlisle, Pennsylvania
",Carlisle,40.2015,-77.1898
Cumberland County Human Svcs. Building,17013,Cumberland,21,21,21,42,(717) 240-6392,"Monday-Friday, 8am-4:30pm","16 West High Street
Carlisle, Pennsylvania
",Carlisle,40.2014,-77.1904
Dickinson College Dept. of Public Safety (Kauffman Building),17013,Cumberland,21,21,21,42,(717) 245-1349,"7 days a week, 24 hours a day","400 West North Street
Carlisle, Pennsylvania
",Carlisle,40.2048,-77.1995
East Pennsboro Township Police Dept.,17025,Cumberland,21,21,21,42,(717) 732-3633,"Monday-Friday, 8:30am-3pm","98 South Enola Drive
Enola, Pennsylvania
",Enola,40.2873,-76.9324
Hampden Township Police Dept.,17050,Cumberland,21,21,21,42,(717) 761-2609,"Monday-Friday, 8am-4pm; Saturday, 8am-12pm","230 S. Sporting Hill Road
Mechanicsburg, Pennsylvania
",Mechanicsburg,40.2361,-76.9716
Lower Allen Township Police Dept.,17011,Cumberland,21,21,21,42,(717) 975-7575,"Monday-Friday, 8amû4pm ","2233 Gettysburg Road
Camp Hill, Pennsylvania
",Camp Hill,40.2298,-76.9185
Mechanicsburg Borough Police Dept. ,17055,Cumberland,21,21,21,42,(717) 691-3300,"Monday-Friday, 8:30am-4:30pm","36 West Allen Street
Mechanicsburg, Pennsylvania
",Mechanicsburg,40.2143,-77.0103
Messiah College,17055,Cumberland,21,21,21,42,"(717) 766-2511, ext 6035","Monday-Friday, 8am-5pm","Engle Health Center
Grantham, Pennsylvania
",Grantham,40.156,-76.9942
Middlesex Township Police Dept.,17013,Cumberland,21,21,21,42,(717) 249-7191,"Monday-Friday, 8am-4pm ","350 North Middlesex Road
Carlisle, Pennsylvania
",Carlisle,40.2133,-77.1871
Mt. Holly Springs Police Dept.,17065,Cumberland,21,21,21,42,(717) 486-7615,"Monday-Friday, 8am-4pm ","200 Harman Street
Mt. Holly Springs, Pennsylvania
",Mt. Holly Springs,40.116,-77.1918
New Cumberland Borough Police Dept.,17070,Cumberland,21,21,21,42,(717) 774-0400,"Monday-Friday, 8am-4pm ","1120 Market Street
New Cumberland, Pennsylvania
",New Cumberland,40.2336,-76.8725
Newville Borough Police Dept.,17241,Cumberland,21,21,21,42,(717) 776-5513,"Monday-Friday, 7am-11am","27 West Big Spring Avenue
Newville, Pennsylvania
",Newville,40.1717,-77.3997
North Middleton Township Police Dept.,17013,Cumberland,21,21,21,42,(717) 243-7910,"Monday-Friday, 7am-4pm","2051 Spring Road
Carlisle, Pennsylvania
",Carlisle,40.2376,-77.1804
Shippensburg Borough Police Dept.,17257,Cumberland,21,21,21,42,(717) 532-7361,"Monday-Friday, 8am-4pm","60 West Burd Street
Shippensburg, Pennsylvania
",Shippensburg,40.0515,-77.523
Shippensburg University Dept. of Public Safety,17257,Cumberland,21,21,21,42,(717) 477-1444,"7 days a week, 24 hours a day","1871 Old Main Street
Shippensburg, Pennsylvania
",Shippensburg,40.0578,-77.5221
Silver Spring Township Police Department,17050,Cumberland,21,21,21,42,(717) 697-0607,"Monday-Friday, 7:30am-4pm ","5 Willow Mill Park Road, Suite 1
Mechanicsburg, Pennsylvania
",Mechanicsburg,40.2513,-77.0313
State Police-Troop H / Carlisle,17015,Cumberland,21,21,21,42,NA,NA,"1538 Commerce Ave.
Carlisle, Pennsylvania
",Carlisle,40.1846,-77.2272
Upper Allen Township Police Dept.,17055,Cumberland,21,21,21,42,(717) 795-2445,"Monday-Friday, 8am-4:30pm","100 Gettysburg Pike
Mechanicsburg, Pennsylvania
",Mechanicsburg,40.1851,-76.9863
West Shore Regional Police Dept.,17043,Cumberland,21,21,21,42,(717) 737-8734,"Monday-Friday, 8:30am-3:30pm ","510 Herman Avenue
Lemoyne, Pennsylvania
",Lemoyne,40.2414,-76.8939
Borough of Steelton Police Dept.,17101,Dauphin,22,22,22,42,(717) 939-9841,"Monday-Friday, 8am-4:30pm","123 North Front Street
Steelton, Pennsylvania
",Steelton,40.2598,-76.8851
Dauphin County Sheriff's Office,17101,Dauphin,22,22,22,42,(717) 780-6590,"Monday-Friday, 8am-4:30pm","101 Market Street
Harrisburg, Pennsylvania
",Harrisburg,40.2586,-76.8821
Hummelstown Borough Police Dept.,17036,Dauphin,22,22,22,42,(717) 566-2555,"Monday-Friday, 8am-4:30pm","136 S. Hanover Street
Hummelstown, Pennsylvania
",Hummelstown,40.2626,-76.7079
Lower Paxton Township Police Dept.,17109,Dauphin,22,22,22,42,(717) 657-5656,"Monday-Friday, 8am-4pm","425 Prince Street
Harrisburg, Pennsylvania
",Harrisburg,40.2642,-76.8878
Lykens Borough Police Dept.,17048,Dauphin,22,22,22,42,(717) 453-7001,"Monday-Friday, 7am-3pm by appointment","200 Main Street
Lykens, Pennsylvania
",Lykens,40.5673,-76.7101
Millersburg Police Dept.,17061,Dauphin,22,22,22,42,(717) 692-2323,"Monday-Friday, 8am-3pm","101 West Street
Millersburg, Pennsylvania
",Millersburg,40.5374,-76.9614
"PA Fish and Boat Commission | Bureau of Outreach, Education & Marketing",17110,Dauphin,22,22,22,42,(717) 705 7800,"Monday-Friday, 8am-4pm","1601 Elmerton Ave.
Harrisburg, Pennsylvania
",Harrisburg,40.2924,-76.8618
Pennsylvania Capitol Police-Capitol East Wing,17101,Dauphin,22,22,22,42,(717) 787-9013,"Monday-Friday, 7am-6pm","Commonwealth &amp; North Sts.
Harrisburg, Pennsylvania
",Harrisburg,40.2663,-76.8828
State Police-Troop H / Harrisburg,17112,Dauphin,22,22,22,42,NA,NA,"8000 Bretz Dr.
Harrisburg, Pennsylvania
",Harrisburg,40.3364,-76.7111
Susquehanna Twp. Police Dept.,17110,Dauphin,22,22,22,42,(717) 652-8265,"Monday-Friday, 8am-4:30pm","1900 Linglestown Road
Harrisburg, Pennsylvania
",Harrisburg,40.326,-76.8916
Swatara Township Police Dept.,17111,Dauphin,22,22,22,42,(717) 564-2550,"Monday-Friday, 8am-4:30pm, or by appointment","599 Eisenhower Blvd.
Harrisburg, Pennsylvania
",Harrisburg,40.2514,-76.8149
Township of Derry Police Dept.,17033,Dauphin,22,22,22,42,(717) 534-2202,"7 days a week, 24 hours a day","620 Clearwater Road
Hershey, Pennsylvania
",Hershey,40.283,-76.6815
Aldan Police,19018,Delaware,23,23,23,42,NA,NA,"1 W. Providence Rd.,
Aldan, Pennsylvania
",Aldan,39.9223,-75.2876
Aston Township Police Department,19014,Delaware,23,23,23,42,NA,NA,"5021 Pennell Road
Aston, Pennsylvania
",Aston,39.8666,-75.4294
Bethel Township Police Department,19060,Delaware,23,23,23,42,NA,NA,"1090 Bethel Road
Garnet Valley, Pennsylvania
",Garnet Valley,39.8523,-75.4883
Brookhaven Police Department,19015,Delaware,23,23,23,42,NA,NA,"#2 Cambridge Road
Brookhaven, Pennsylvania
",Brookhaven,39.8766,-75.392
Chester Police,19013,Delaware,23,23,23,42,NA,NA,"160 E. 7th St.
Chester, Pennsylvania
",Chester,39.8516,-75.3593
Chester Township Police Department,19013,Delaware,23,23,23,42,NA,NA,"1840 Harris Street
Chester, Pennsylvania
",Chester,39.8446,-75.3929
Clifton Heights Borough Police Department,19018,Delaware,23,23,23,42,NA,NA,"30 S. Springfield Road
Clifton Heights, Pennsylvania
",Clifton Heights,39.9285,-75.2963
Collingdale Borough Police Department,19023,Delaware,23,23,23,42,NA,NA,"800 MacDade Blvd
Collingdale, Pennsylvania
",Collingdale,39.9176,-75.276
Crozer-Chester Medical Center,19013,Delaware,23,23,23,42,NA,NA,"1 Medical Center Blvd
Upland, Pennsylvania
",Upland,39.8558,-75.3682
Darby Borough Police Department,19023,Delaware,23,23,23,42,NA,NA,"821 Summit Street
Darby, Pennsylvania
",Darby,39.9211,-75.2579
Darby Township Police Department,19079,Delaware,23,23,23,42,(610) 583-3245,"Monday-Friday, 8:30am-4pm","2 Studevan Plaza
Sharon Hill, Pennsylvania
",Hill,39.9042,-75.2625
Delaware County Government Center,19063,Delaware,23,23,23,42,(610) 891-5381 ,"Monday-Friday, 8:30am-4:30pm","201 W. Front Street
Media, Pennsylvania
",Media,39.9197,-75.3913
Delaware County Govt. Center,19063,Delaware,23,23,23,42,NA,NA,"201 W. Front St.
Media, Pennsylvania
",Media,39.9201,-75.3915
East Lansdowne Borough Police,19050,Delaware,23,23,23,42,NA,NA,"155 Lexington Ave.
Lansdowne, Pennsylvania
",Lansdowne,39.9454,-75.2617
Eddystone Police,19022,Delaware,23,23,23,42,NA,NA,"1300 E. 12th St.
Eddystone, Pennsylvania
",Eddystone,39.8629,-75.3446
Folcroft Borough Police,19032,Delaware,23,23,23,42,NA,NA,"1555 E. Elmwood Ave.
Folcroft, Pennsylvania
",Folcroft,39.8996,-75.2791
Glenolden Borough Poice Department,19036,Delaware,23,23,23,42,NA,NA,"38 Boon Avenue
Glenolden, Pennsylvania
",Glenolden,39.8991,-75.2883
Glenolden Borough Police,19036,Delaware,23,23,23,42,NA,NA,"38 Boon Ave.
Glenolden, Pennsylvania
",Glenolden,39.8991,-75.2883
Haverford Police Department,19083,Delaware,23,23,23,42,NA,NA,"1010 Darby Rd.
Havertown, Pennsylvania
",Havertown,39.9759,-75.304
Haverford Township Police Department,19083,Delaware,23,23,23,42,(610) 853-1298,Contact location for hours,"1010 Darby Road
Havertown, Pennsylvania
",Havertown,39.9759,-75.304
Lansdowne Borough Police,19050,Delaware,23,23,23,42,NA,NA,"12 E. Baltimore Pk.
Lansdowne, Pennsylvania
",Lansdowne,39.9381,-75.2717
Lower Chichester Township Police Department,19061,Delaware,23,23,23,42,NA,NA,"1410 Market Street
Linwood, Pennsylvania
",Linwood,39.8249,-75.4222
Marcus Hook Borough Police Department,19060,Delaware,23,23,23,42,NA,NA,"1013 Green Street
Marcus Hook, Pennsylvania
",Marcus Hook,39.8195,-75.4187
Marple Township Police Department,19008,Delaware,23,23,23,42,(610) 356-1500,"7 days a week, 24 hours a day","1001 Sussex Blvd
Broomall, Pennsylvania
",Broomall,39.9621,-75.3563
Millbourne Police,19082,Delaware,23,23,23,42,NA,NA,"11 Park Ave
Millbourne, Pennsylvania
",Millbourne,39.9636,-75.2501
Morton Borough Police,19070,Delaware,23,23,23,42,NA,NA,"500 Highland Ave
Morton, Pennsylvania
",Morton,39.9113,-75.3221
Nether Providence Township Police Department,19086,Delaware,23,23,23,42,NA,NA,"214 Sykes Road
Wallingford, Pennsylvania
",Wallingford,39.9004,-75.3686
